cohort,class,n,precision,recall,f1
kermany,NORMAL,4906,0.9195,0.936,0.9277
kermany,DRUSEN,1294,0.6708,0.6615,0.6661
kermany,CNV,3050,0.8976,0.8764,0.8869
kermany,DME,1659,0.8248,0.8258,0.8253
kermany,MACRO (4 cls),10909,0.8282,0.8249,0.8265
neh,NORMAL,885,0.841,0.6395,0.7266
neh,DRUSEN,849,0.6091,0.8716,0.7171
neh,CNV,729,0.9731,0.7435,0.8429
neh,DME,0,,,
neh,MACRO (3 cls),2463,0.8077,0.7515,0.7622
