epoch,train_loss,val_loss,lr,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,roc_auc_ovr_macro
1,0.9803992544320725,0.8700713020244272,0.003,0.8288754392815306,0.8309842500550532,0.7788302791976127,0.8309842500550532,0.7921410982326028,0.8350775183506727,0.9613569507793975
2,0.8575679612285512,0.8472535780564456,0.003,0.8454705193283873,0.8310085132454547,0.7985589572553373,0.8310085132454547,0.807728274668933,0.8478958441927862,0.9659456073768542
3,0.8426098631840748,0.8511770315255937,0.003,0.8124755954705193,0.8370643378304912,0.7885504099804894,0.8370643378304912,0.7942426735173996,0.8243302506632815,0.96871350559953
4,0.8446021554260685,0.8578997874390283,0.003,0.7928543537680594,0.8261927941388992,0.7825904599518713,0.8261927941388992,0.7795621833310652,0.8078973643868136,0.969458860628609
5,0.8434847563921201,0.82021165245541,0.003,0.8572823115970324,0.8511678911701557,0.8096717271354399,0.8511678911701557,0.8259134810080204,0.8612828700411429,0.969628445812426
6,0.8412577235357529,0.852312401699303,0.003,0.8012495119094104,0.8310048304877714,0.7942959403516661,0.8310048304877714,0.7905767094958797,0.8157918627159014,0.9702591736883007
7,0.8440605823085046,0.8665835608825326,0.003,0.7826044513861773,0.8226480619124792,0.7753004266661426,0.8226480619124792,0.7708791002127865,0.7985946964537054,0.9694825408208059
8,0.8476348916568968,0.8109876825119638,0.003,0.8676298320968372,0.844737645718926,0.8284946150492845,0.844737645718926,0.8356201618356305,0.8693490597662323,0.9700217011151198
9,0.8454082179032786,0.8885608975750448,0.003,0.8064232721593128,0.8186309635943543,0.7634537469367256,0.8186309635943543,0.7631560488649813,0.8214682016002525,0.9676254584826383
10,0.8481541494483,0.8302599981118812,0.003,0.8355134713002733,0.8468419412014672,0.8049675391210782,0.8468419412014672,0.8136172866795623,0.8441618748613293,0.9708125879393159
11,0.8416642966159803,0.8282223652462064,0.003,0.8444943381491605,0.8317801181837262,0.8256215919089953,0.8317801181837262,0.8200390897135961,0.851426070270405,0.9698969492545093
12,0.856288635779164,0.8553158009438625,0.003,0.8073994533385397,0.8336421796076083,0.7929234370512186,0.8336421796076083,0.792634857613084,0.8204933453396103,0.9690999156317551
13,0.8320536823259125,0.8195938018559014,0.0015,0.8465443186255369,0.8450142557668222,0.8153063809864782,0.8450142557668222,0.8219534183741484,0.853083507905761,0.9707447554880768
14,0.8330491286509789,0.8286182867600926,0.0015,0.8497657165169855,0.8520976987764427,0.8020679358433211,0.8520976987764427,0.8183101208028983,0.8550630956630815,0.9696534649517152
15,0.8317990082864963,0.8179090230411871,0.0015,0.8625536899648575,0.8532620308435526,0.8138582963456382,0.8532620308435526,0.8294953717128428,0.8657307831021104,0.9707851268489722
