cohort,class,n,precision,recall,f1
kermany,NORMAL,4906,0.949,0.9177,0.9331
kermany,DRUSEN,1294,0.6433,0.7736,0.7025
kermany,CNV,3050,0.9328,0.8511,0.8901
kermany,DME,1659,0.8007,0.8813,0.839
kermany,MACRO (4 cls),10909,0.8314,0.8559,0.8412
neh,NORMAL,885,0.8582,0.6836,0.761
neh,DRUSEN,849,0.6461,0.8881,0.748
neh,CNV,729,0.9666,0.7545,0.8475
neh,DME,0,,,
neh,MACRO (3 cls),2463,0.8236,0.7754,0.7855
