cohort,class,n,precision,recall,f1
kermany,NORMAL,4906,0.8882,0.9731,0.9287
kermany,DRUSEN,1294,0.7575,0.5866,0.6611
kermany,CNV,3050,0.8526,0.9177,0.8839
kermany,DME,1659,0.9239,0.6956,0.7937
kermany,MACRO (4 cls),10909,0.8555,0.7932,0.8169
neh,NORMAL,885,0.7403,0.8825,0.8052
neh,DRUSEN,849,0.7851,0.7185,0.7503
neh,CNV,729,0.9375,0.8025,0.8647
neh,DME,0,,,
neh,MACRO (3 cls),2463,0.821,0.8011,0.8067
