epoch,train_loss,val_loss,lr,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,roc_auc_ovr_macro
1,0.8998589144210988,0.7155507945865451,0.001,0.8328777821163608,0.7406414514430818,0.8267512046476547,0.7406414514430818,0.7697899008783782,0.8223637532553092,0.9535094997764018
2,0.7483610869444653,0.6815049948984643,0.001,0.8456657555642327,0.7608215227025612,0.8465232580155699,0.7608215227025612,0.786238740326244,0.8337836973623148,0.9619465409422371
3,0.7231656990023887,0.6657039861761002,0.001,0.8527918781725888,0.7762382452826294,0.849603786094677,0.7762382452826294,0.8010099007011973,0.8437781712514957,0.9643891197664699
4,0.7120345366413539,0.6585723161813758,0.001,0.8577704021866458,0.7769404853455276,0.8632170005903663,0.7769404853455276,0.8020552994550822,0.8461215113445149,0.9673942138907533
5,0.7087872584352886,0.6435733974934182,0.001,0.8674345958609918,0.8003274966193897,0.8596996732635259,0.8003274966193897,0.8241445621134075,0.862185076882596,0.9683421544526702
6,0.7035827628203403,0.6447362856025204,0.001,0.8713393205778993,0.8106207989680967,0.8614422109357825,0.8106207989680967,0.8311055953642195,0.8666023527518985,0.968971166123614
7,0.7053312695245125,0.640205557366825,0.001,0.8737797735259665,0.8094930041582367,0.8654940888882299,0.8094930041582367,0.8325556328666034,0.8694121637664999,0.9695368351712003
8,0.7023582650954062,0.6450095433292329,0.001,0.8654822335025381,0.7900799142288424,0.8660245581771365,0.7900799142288424,0.8150301660520206,0.8562911759451663,0.9689040701906624
9,0.6999734079833904,0.6445856958522967,0.001,0.8659703240921515,0.802186090337132,0.8608203688529218,0.802186090337132,0.8240564451265946,0.8598021255554424,0.9688100245796241
10,0.7022624458383515,0.6409420915433831,0.001,0.8715345568137446,0.8164182875101503,0.8547437925494611,0.8164182875101503,0.8323085686169597,0.8678617427497707,0.969590097560628
11,0.6974825760976369,0.6493210961510548,0.001,0.8564037485357282,0.7741191972642003,0.8687922066057518,0.7741191972642003,0.8025732222439916,0.8447298320257985,0.9689044511986713
12,0.6979275408943882,0.6416447498704344,0.0005,0.8658727059742288,0.7932905316246198,0.8697324380193407,0.7932905316246198,0.8186648983957666,0.8570507064242894,0.9697317183769896
13,0.6952131855214553,0.6372475472105429,0.0005,0.8708512299882858,0.8006360579503696,0.8696918583201227,0.8006360579503696,0.8258924275948127,0.8638087342426828,0.9702041806133885
14,0.6959421092168563,0.6451275350176139,0.0005,0.8632370167903163,0.7964287895522799,0.8604853287922148,0.7964287895522799,0.8195360342041131,0.8563431685684423,0.9688317956290364
