cohort,class,n,precision,recall,f1
kermany,NORMAL,4906,0.9453,0.9232,0.9341
kermany,DRUSEN,1294,0.6588,0.7519,0.7023
kermany,CNV,3050,0.9171,0.8708,0.8934
kermany,DME,1659,0.8201,0.8626,0.8408
kermany,MACRO (4 cls),10909,0.8353,0.8521,0.8426
neh,NORMAL,885,0.8256,0.7435,0.7824
neh,DRUSEN,849,0.673,0.841,0.7476
neh,CNV,729,0.9576,0.7737,0.8558
neh,DME,0,,,
neh,MACRO (3 cls),2463,0.8187,0.7861,0.7953
