cohort,class,n,precision,recall,f1
kermany,NORMAL,4906,0.932,0.9494,0.9406
kermany,DRUSEN,1294,0.6474,0.789,0.7113
kermany,CNV,3050,0.9279,0.8521,0.8884
kermany,DME,1659,0.8826,0.8156,0.8477
kermany,MACRO (4 cls),10909,0.8475,0.8515,0.847
neh,NORMAL,885,0.8398,0.7051,0.7666
neh,DRUSEN,849,0.6363,0.8716,0.7356
neh,CNV,729,0.9762,0.7311,0.8361
neh,DME,0,,,
neh,MACRO (3 cls),2463,0.8174,0.7693,0.7794
