epoch,train_loss,val_loss,lr,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,roc_auc_ovr_macro
1,0.5844116460563057,0.4283766399615656,0.001,0.8664021164021164,0.8726701666704877,0.8718570018318209,0.8726701666704877,0.8663962723377152,0.8664745828006902,0.9599609908878806
2,0.42155109360071824,0.3805725770021873,0.001,0.9041005291005291,0.907890351240726,0.904757488152654,0.907890351240726,0.9039640456525596,0.9042849014776108,0.9687609669039781
3,0.39081513866237283,0.36515281897373303,0.001,0.9133597883597884,0.9153324151260831,0.9124195344732178,0.9153324151260831,0.9130585548473524,0.9135120974391099,0.9715050075214224
4,0.37375225342559154,0.35453855991363525,0.001,0.9212962962962963,0.9234499080323149,0.9204182541461228,0.9234499080323149,0.9210348573121359,0.9214375334486589,0.9738152216659289
5,0.36173643358427204,0.34954698975124054,0.001,0.9246031746031746,0.9256604831698254,0.9234441198915818,0.9256604831698254,0.9242307820799787,0.9247015424394907,0.9747022733565294
6,0.3534895131627799,0.34617589390467085,0.001,0.9259259259259259,0.9284115778762607,0.9252141128037094,0.9284115778762607,0.9257074167990103,0.9260644926893358,0.9746617123448321
7,0.34691323197063023,0.34345548871963744,0.001,0.921957671957672,0.9252390013526215,0.9218997961629647,0.9252390013526215,0.9217995020863284,0.922111189773976,0.9754235539558449
8,0.3424411038740753,0.3413459149302629,0.001,0.9259259259259259,0.9282934218856638,0.9251444646536437,0.9282934218856638,0.9256965944272446,0.926062432770379,0.9753036344430003
9,0.33765176438029,0.33753617478426173,0.001,0.9272486772486772,0.9293903327237425,0.9263467549181834,0.9293903327237425,0.927001404494382,0.9273779334611497,0.9763423490469043
10,0.33392941371666196,0.3350656813099271,0.001,0.9265873015873016,0.9292554232717922,0.9259912634408602,0.9292554232717922,0.9263863418750711,0.9267272102477152,0.9770459944237426
11,0.33094523854397095,0.334943111769106,0.001,0.9252645502645502,0.9272132645089384,0.9242854140395125,0.9272132645089384,0.924992855145371,0.9253929336725141,0.9769066761661732
12,0.32844893246880535,0.33236180395676346,0.001,0.9259259259259259,0.9287660458480513,0.925458697535239,0.9287660458480513,0.9257383018881162,0.9260691126916228,0.9775045102081485
13,0.32590309291726194,0.3322320025433939,0.001,0.9272486772486772,0.9308082046109053,0.9274312499671932,0.9308082046109053,0.927118097428275,0.9273914989272423,0.9777937278567738
14,0.3227056463788299,0.33056681275998473,0.001,0.9259259259259259,0.9287660458480513,0.925458697535239,0.9287660458480513,0.9257383018881162,0.9260691126916228,0.977934809636591
15,0.3208383597731762,0.32970570887207357,0.001,0.9265873015873016,0.9302006711965676,0.926833706606943,0.9302006711965676,0.9264596273291925,0.926731188449615,0.9785767317347592
16,0.3188049862922319,0.33018188344107735,0.001,0.9259259259259259,0.9297112937728266,0.9263727783834104,0.9297112937728266,0.9258090972178412,0.9260700146658971,0.9785326436785664
17,0.3170171402697257,0.3285027280371025,0.001,0.9246031746031746,0.9280236029817635,0.9246625316034889,0.9280236029817635,0.9244592398592683,0.9247514710059872,0.9786737254583834
18,0.31562649409090654,0.32797776044361177,0.0005,0.923941798941799,0.926943445605038,0.9236167979002625,0.926943445605038,0.9237640930983004,0.9240902928658183,0.9786596172804019
19,0.31545169334434964,0.3267103536103768,0.0005,0.9252645502645502,0.9286311363961013,0.9252645502645502,0.9286311363961013,0.9251175133839253,0.9254115871451751,0.9793350463012767
20,0.3139259566191188,0.3279590988285327,0.0005,0.9252645502645502,0.9287492923866981,0.92538475535928,0.9287492923866981,0.9251261766960177,0.9254114391296079,0.9788641858611367
