cohort,class,n,precision,recall,f1
kermany,NORMAL,4906,0.9353,0.9494,0.9423
kermany,DRUSEN,1294,0.6974,0.7179,0.7075
kermany,CNV,3050,0.9103,0.882,0.8959
kermany,DME,1659,0.8532,0.8445,0.8488
kermany,MACRO (4 cls),10909,0.8491,0.8485,0.8487
neh,NORMAL,885,0.8041,0.8068,0.8054
neh,DRUSEN,849,0.7227,0.8104,0.764
neh,CNV,729,0.9411,0.7888,0.8582
neh,DME,0,,,
neh,MACRO (3 cls),2463,0.8226,0.802,0.8092
