cohort,class,n,precision,recall,f1
kermany,NORMAL,4906,0.9464,0.9205,0.9333
kermany,DRUSEN,1294,0.6291,0.8022,0.7052
kermany,CNV,3050,0.9388,0.8393,0.8863
kermany,DME,1659,0.8187,0.8686,0.8429
kermany,MACRO (4 cls),10909,0.8332,0.8577,0.8419
neh,NORMAL,885,0.854,0.7073,0.7738
neh,DRUSEN,849,0.6454,0.8834,0.7459
neh,CNV,729,0.9709,0.7311,0.8341
neh,DME,0,,,
neh,MACRO (3 cls),2463,0.8234,0.774,0.7846
