epoch,train_loss,val_loss,lr,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,roc_auc_ovr_macro
1,0.5092543745885048,0.4121709849349896,0.001,0.8729792147806005,0.8861299961620703,0.8682610855469567,0.8861299961620703,0.8705762792922047,0.8744725645191516,0.9624692841015008
2,0.39430708871023856,0.38398716085410467,0.001,0.9080061585835257,0.9151761460207647,0.9005391645654075,0.9151761460207647,0.9052768346223252,0.9088292880321418,0.9691993679876787
3,0.3673355390040298,0.3713743545350155,0.001,0.9130100076982294,0.9183804435051762,0.9054859933626074,0.9183804435051762,0.9101438132392903,0.9136894934535814,0.9711843751401841
4,0.35683376971743563,0.3699427461330481,0.001,0.9126250962278676,0.9218202503127664,0.9055449565574187,0.9218202503127664,0.910268802864358,0.9134814213694755,0.9723868433775775
5,0.34718528432587437,0.36051707003004646,0.001,0.9141647421093149,0.9196838443096462,0.9066625413163892,0.9196838443096462,0.9113491710703594,0.9148397494210299,0.9741045661394914
6,0.34155365112506963,0.3567049488872634,0.001,0.9160892994611239,0.9216177621380757,0.9086235381070389,0.9216177621380757,0.9133245632131206,0.9167447326233661,0.9749219953247038
7,0.3370208746919754,0.3543180551227925,0.001,0.9141647421093149,0.9200414695781767,0.9066673221471369,0.9200414695781767,0.9113991707808764,0.914857641243891,0.9757051572803533
8,0.33329444512010187,0.351931611605109,0.001,0.9168591224018475,0.9226059044305659,0.9094071860046259,0.9226059044305659,0.9141440846001322,0.9175173133840816,0.9764690049793399
9,0.3297416575036608,0.3522891295332464,0.001,0.9160892994611239,0.9242999516520543,0.9088235505993545,0.9242999516520543,0.9136804461590233,0.9168663489134143,0.9770328566657861
10,0.3276008120678335,0.3492115252379549,0.001,0.9176289453425712,0.9244881098943822,0.9102263203021136,0.9244881098943822,0.9150812328626519,0.9183309816703711,0.9774353408530172
11,0.3259147453818988,0.3460381053290613,0.001,0.9164742109314857,0.9197872690388728,0.909190591261857,0.9197872690388728,0.9134064246846202,0.9170074662095707,0.9780752034850395
12,0.3236688175709904,0.3518973911056342,0.001,0.9183987682832948,0.928337254335116,0.9114863894275659,0.928337254335116,0.9162515045887295,0.9192143155519037,0.9782178797681294
13,0.321394924275534,0.3480314468539064,0.001,0.9199384141647421,0.9285254125774439,0.9127501836320254,0.9285254125774439,0.9176617938802191,0.9206867476841918,0.9784540121318454
14,0.32003910580249756,0.34430183175437906,0.001,0.918013856812933,0.9228364294294444,0.9106146823127955,0.9228364294294444,0.9152030953703526,0.9186140405459152,0.9784820489560333
15,0.31877769171228726,0.3575104488557444,0.001,0.9103156274056967,0.9236837645604574,0.9047761762613802,0.9236837645604574,0.9084280630363173,0.9113327867575607,0.9789636592915281
16,0.31731656414999304,0.3430315020728607,0.001,0.9195535026943803,0.924276276111629,0.9121994580090154,0.924276276111629,0.9167713446042668,0.9201333630121091,0.9788664649676766
17,0.3160568406973622,0.3417841570940818,0.001,0.9207082371054658,0.9245068011105075,0.9134888942832868,0.9245068011105075,0.9178328764296664,0.9212288785447053,0.9794502539513231
18,0.31529339465215295,0.3425887656542225,0.001,0.9195535026943803,0.9253491519172203,0.9121520744977889,0.9253491519172203,0.9169146939628032,0.9201861328654496,0.9792116294254569
19,0.31477961254247594,0.34933198042059055,0.001,0.9172440338722094,0.9286431672390332,0.9107729794245121,0.9286431672390332,0.915244940256309,0.9181208293177796,0.9795156732077617
20,0.3135095894077268,0.34698338911017607,0.001,0.918013856812933,0.927843183188871,0.9110754797512841,0.927843183188871,0.9158458053610901,0.9188301255849698,0.9792309436821197
21,0.31365901178881406,0.34293564555276074,0.001,0.9210931485758276,0.9285771249420572,0.9137780860267186,0.9285771249420572,0.9187081465399409,0.9217845311884778,0.9800209590836818
22,0.3114674203119648,0.3408379081903374,0.001,0.9226327944572749,0.926440718938937,0.9154732211525913,0.926440718938937,0.9198152457567714,0.9231361347795414,0.9795636473291497
23,0.311198420538866,0.34966938788382435,0.001,0.9172440338722094,0.9290007925075637,0.9108998011024403,0.9290007925075637,0.9152857651360513,0.918131451856443,0.9797611511795403
24,0.31046723868444376,0.34082967767906336,0.001,0.9237875288683602,0.9273864944748765,0.9167004820822844,0.9273864944748765,0.9209764676387018,0.924269425079159,0.9795524325994747
25,0.31210808312133576,0.34483070957192646,0.001,0.9218629715165512,0.9311745809429345,0.9148087010154302,0.9311745809429345,0.9197144639981343,0.9226162129759492,0.9795561708426996
26,0.3100335622588152,0.36204225529240497,0.001,0.9060816012317167,0.9209311714657402,0.9014517693141413,0.9209311714657402,0.9043048852948423,0.9071857749777968,0.9800558493537825
27,0.3112882813858948,0.34472647997578626,0.001,0.9199384141647421,0.9292406631145049,0.9128801317486419,0.9292406631145049,0.9177476183546966,0.9207134598522582,0.9799704928001435
28,0.30838283549954004,0.3408118733036417,0.001,0.9230177059276367,0.9285441037935693,0.9156958613353963,0.9285441037935693,0.9204358571520447,0.9236024836417663,0.9796153596937632
29,0.30724898657210453,0.3426674162543123,0.0005,0.9199384141647421,0.9279889746746482,0.9126733149104891,0.9279889746746482,0.917596252378861,0.9206656607466595,0.9799038274626299
30,0.3067268759244215,0.34287179741518053,0.0005,0.9210931485758276,0.9298288133819139,0.9139338139338139,0.9298288133819139,0.9188600336723471,0.921834066049604,0.9799667545569186
