cohort,class,n,precision,recall,f1
kermany,NORMAL,4906,0.9359,0.916,0.9258
kermany,DRUSEN,1294,0.6526,0.7187,0.6841
kermany,CNV,3050,0.92,0.8711,0.8949
kermany,DME,1659,0.8082,0.874,0.8398
kermany,MACRO (4 cls),10909,0.8292,0.845,0.8362
neh,NORMAL,885,0.8175,0.7593,0.7873
neh,DRUSEN,849,0.6884,0.8327,0.7537
neh,CNV,729,0.9542,0.7709,0.8528
neh,DME,0,,,
neh,MACRO (3 cls),2463,0.82,0.7877,0.798
