cohort,class,n,precision,recall,f1
kermany,NORMAL,4906,0.9198,0.895,0.9072
kermany,DRUSEN,1294,0.634,0.6654,0.6493
kermany,CNV,3050,0.9039,0.8574,0.88
kermany,DME,1659,0.7771,0.8825,0.8264
kermany,MACRO (4 cls),10909,0.8087,0.8251,0.8157
neh,NORMAL,885,0.784,0.6192,0.6919
neh,DRUSEN,849,0.6017,0.8363,0.6999
neh,CNV,729,0.9185,0.727,0.8116
neh,DME,0,,,
neh,MACRO (3 cls),2463,0.7681,0.7275,0.7345
