epoch,train_loss,val_loss,lr,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,roc_auc_ovr_macro
1,0.9989672167315983,0.9452758204513395,0.001,0.7737212026552128,0.7806225494876612,0.7230195042445431,0.7806225494876612,0.7377355582323768,0.7832503606958067,0.9389989561955128
2,0.8537561211094445,0.9161048103756665,0.001,0.7823115970324093,0.7969455261537085,0.7349595569555486,0.7969455261537085,0.750686323768661,0.7923115452279705,0.9479425416843938
3,0.8257185906788187,0.8890854407920823,0.001,0.8087661069894573,0.8034780124850324,0.7564462644033151,0.8034780124850324,0.7707399506477086,0.8141962028315922,0.9529986839879951
4,0.8062504201639077,0.8784724165340365,0.001,0.8085708707536119,0.8145867203951443,0.7592732796022118,0.8145867203951443,0.7776638692321316,0.8155142907090169,0.9548200457726053
5,0.798286575107627,0.8718705214312746,0.001,0.8077899258102303,0.8171079793154824,0.7678841313394751,0.8171079793154824,0.7817800655992684,0.8162508800826811,0.9569602548991549
6,0.7871882661427819,0.8811762473025577,0.001,0.802909019914096,0.8176723283286538,0.7556313093389898,0.8176723283286538,0.7715454195962173,0.8119135580938671,0.9577639651213183
7,0.7831482581049517,0.8791107993626771,0.001,0.7880710659898477,0.8127310191206628,0.7707845338238348,0.8127310191206628,0.772412934896348,0.8014189260384791,0.9590787253250459
8,0.7781081799282247,0.8618215064153407,0.001,0.8154041390082,0.8277975947775162,0.7713976247012433,0.8277975947775162,0.788223348641133,0.8233669222448322,0.959891790926374
9,0.7726394550668642,0.8636301598573094,0.001,0.8098399062866068,0.8225534284807382,0.7719572282625516,0.8225534284807382,0.7843810562496746,0.8186549725093879,0.960117408986947
10,0.7686293883129764,0.8664444321442842,0.001,0.8030066380320188,0.8230919444272403,0.7711871934569489,0.8230919444272403,0.7809401663505102,0.813732974351973,0.9610066589937596
11,0.7655866929276928,0.8453874344566938,0.001,0.8394181960171808,0.8289194111544655,0.7923139123471961,0.8289194111544655,0.806236676423576,0.8426474192598041,0.9617996614750774
12,0.7620669414173505,0.8503194156450855,0.001,0.8278992581023038,0.8361746158319225,0.7859685175955619,0.8361746158319225,0.8020863759239735,0.8346619720193978,0.962136698321792
13,0.7601510159658437,0.8524523296425092,0.001,0.816966028894963,0.8297327038344551,0.7841794531075965,0.8297327038344551,0.7948222024439102,0.8258295775171528,0.9625778342845643
14,0.7591819200001932,0.8405403067292017,0.001,0.8386372510737993,0.8348826237922705,0.7929908085579306,0.8348826237922705,0.808843776385649,0.8428578870594193,0.96302860456697
15,0.758558561367906,0.8388202117086155,0.001,0.8444943381491605,0.8345651754562533,0.7981450024643983,0.8345651754562533,0.812263282801982,0.8474225449604583,0.9636611339364075
16,0.7562354261275517,0.8574047798479223,0.001,0.8136470128855916,0.8326554586103196,0.7692289553892133,0.8326554586103196,0.786537777459199,0.8222552454688045,0.9627578864931984
17,0.7525417364897573,0.8418527644670182,0.001,0.8353182350644279,0.835908274495231,0.7881813379667154,0.835908274495231,0.8052194238510711,0.8402310672297069,0.9633188951149924
18,0.7520178643376716,0.8461406279801857,0.001,0.8237016790316283,0.8326049860130477,0.7864548322988938,0.8326049860130477,0.7985362824147082,0.8312979963775103,0.9641090632708553
19,0.7509780432186272,0.8480630759753458,0.001,0.8271183131589223,0.8368037329937239,0.780203758100505,0.8368037329937239,0.797582484887857,0.833936804643493,0.9634208872139808
20,0.7467710172363654,0.8402836474065248,0.0005,0.8366848887153455,0.8389593559034229,0.790801280017747,0.8389593559034229,0.8076327692998444,0.8418640568510342,0.9642188415958521
21,0.7458724048053179,0.8422278629900282,0.0005,0.830925419757907,0.8380212795652862,0.7845143365782787,0.8380212795652862,0.8029573232530924,0.8370170344382855,0.9638770730075727
22,0.7463231327832148,0.841237584439538,0.0005,0.8327801639984381,0.8363882372827119,0.7832198189733647,0.8363882372827119,0.8018211735957665,0.8382098208637833,0.964256589674715
