epoch,train_loss,val_loss,lr,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,roc_auc_ovr_macro
1,0.8199657589081196,0.8270600438117981,0.001,0.5344827586206896,0.4778172473735923,0.4098310291858679,0.4778172473735923,0.37931034482758624,0.4194411414982165,0.5062353563600634
2,0.7488413930866968,0.7876965999603271,0.001,0.5474137931034483,0.49947093946035825,0.4988448844884488,0.49947093946035825,0.4415789835637164,0.4730150656052209,0.5221071725493159
3,0.7259846056017895,0.715664803981781,0.001,0.5732758620689655,0.5620512432922682,0.5632901634289238,0.5620512432922682,0.5621389762653703,0.5711688836736907,0.5363918071196433
4,0.6764573459495367,0.6869383454322815,0.001,0.4525862068965517,0.5141334744161439,0.637905604719764,0.5141334744161439,0.3423067479184803,0.30748165560961566,0.5572519083969466
5,0.7363729720449633,0.6800050735473633,0.001,0.49137931034482757,0.5190083893885572,0.5227498869289914,0.5190083893885572,0.48021569074200654,0.47036543815128207,0.5563449474718464
6,0.6572268607551486,0.9641082286834717,0.001,0.5387931034482759,0.47823293779759657,0.3392857142857143,0.47823293779759657,0.3584700865744928,0.4024513102022448,0.5487869397626786
7,0.841014162807613,1.0851672887802124,0.001,0.5603448275862069,0.4961832061068702,0.2813852813852814,0.4961832061068702,0.35911602209944754,0.40555343875023814,0.549845060841962
8,0.8752797508054206,0.8811323046684265,0.0005,0.5258620689655172,0.4724510619000831,0.4177386594448206,0.4724510619000831,0.38836161441856004,0.42586173838591196,0.5589902501700552
9,0.7103637125241618,0.6912643909454346,0.0005,0.5387931034482759,0.5485224094928577,0.5486363636363636,0.5485224094928577,0.538784534492689,0.5385274658250832,0.5731237245861991
10,0.6438946480417066,0.6730970740318298,0.0005,0.5,0.5447811956768196,0.5821205821205822,0.5447811956768196,0.4588159588159588,0.4395109395109395,0.5877862595419847
