epoch,train_loss,val_loss,lr,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,roc_auc_ovr_macro
1,0.8159264991719435,0.7182819843292236,0.001,0.4267241379310345,0.4900990099009901,0.21521739130434783,0.4900990099009901,0.2990936555891239,0.26041775184915095,0.5206711510845741
2,0.7697416657603668,0.760431170463562,0.001,0.5560344827586207,0.5263774469049959,0.5331119544592031,0.5263774469049959,0.512952734239651,0.5316839292478988,0.5357871665029099
3,0.7005849654572484,0.6839580535888672,0.001,0.5172413793103449,0.543042853903711,0.5498206631090894,0.543042853903711,0.5090318192124555,0.5008222591145663,0.5567228478573049
4,0.6803757235233886,0.70130455493927,0.001,0.5560344827586207,0.5683243896908775,0.5692401960784315,0.5683243896908775,0.555828175244893,0.5545903301625271,0.5508276018441539
5,0.6581587847104796,0.8267152309417725,0.001,0.5517241379310345,0.5134910437608646,0.5205290396779758,0.5134910437608646,0.48409168662333224,0.5082461335189402,0.5510543420754288
6,0.7022854889877111,0.821471631526947,0.001,0.5689655172413793,0.5355604262716348,0.5483307652799179,0.5355604262716348,0.5171495171495172,0.5376032013963048,0.5613332325598973
7,0.6807988183971508,0.73749178647995,0.001,0.5474137931034483,0.5470863880281158,0.5463128159381505,0.5470863880281158,0.5449705799943962,0.5492821325397822,0.5801526717557253
8,0.6410403495168872,0.73002028465271,0.001,0.5387931034482759,0.5439876048673569,0.5434587813620072,0.5439876048673569,0.5383728498372851,0.5401739367415316,0.5857455974605094
9,0.6392106068273463,0.7394794821739197,0.0005,0.5431034482758621,0.5466706976041116,0.5459757277939096,0.5466706976041116,0.5422529967984513,0.5448043512306835,0.5835537752248507
10,0.6378254435869506,0.7271557450294495,0.0005,0.5474137931034483,0.5584233995918676,0.5588638440450807,0.5584233995918676,0.5473381027594537,0.5465811993195078,0.5835537752248507
11,0.6370251491839783,0.7438318133354187,0.0005,0.5387931034482759,0.5417202025546066,0.5410714285714285,0.5417202025546066,0.5377539429827012,0.5405880169797231,0.5843851560728592
