epoch,train_loss,val_loss,lr,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,roc_auc_ovr_macro
1,0.9843339401275661,0.8880906466719044,0.001,0.8130613041780554,0.8095274124052052,0.767063518505151,0.8095274124052052,0.7762666451059859,0.8213702363394761,0.9538571647613021
2,0.8192481972644841,0.85471711157356,0.001,0.8207731354939477,0.8280502803411922,0.7850346203251518,0.8280502803411922,0.7934152713381155,0.8302170140846657,0.9621930845640102
3,0.7827975107144283,0.8320850344990809,0.001,0.8467395548613823,0.8409847435983456,0.7961998549461055,0.8409847435983456,0.8120876552384603,0.8516621838709278,0.9645979796515738
4,0.7628636153740868,0.8289529518287939,0.001,0.8430300663803202,0.8453491609118874,0.8005084616957195,0.8453491609118874,0.814498031185771,0.8493696673766421,0.9665048880618635
5,0.7500939366446695,0.8138224533506316,0.001,0.8515228426395939,0.8529117602657005,0.8134033866349115,0.8529117602657005,0.825943716854745,0.8577041710658139,0.9692451424084307
6,0.7428426236280168,0.8077170958234109,0.001,0.8659703240921515,0.8542186231195893,0.8233133972473776,0.8542186231195893,0.8360976005611352,0.8689654832035342,0.969199344049648
7,0.7343264188306317,0.8194341905319052,0.001,0.8451776649746193,0.8554419384488073,0.8002451352349694,0.8554419384488073,0.8173169151416574,0.8519801112847729,0.9696026343791431
8,0.7288505641723626,0.8107312104982215,0.001,0.8538656774697384,0.8598370006073055,0.8118087189184932,0.8598370006073055,0.827694779061068,0.859818170056848,0.9708610087004773
9,0.7232738500510986,0.8014396915255185,0.001,0.8654822335025381,0.8580978088828329,0.8267152067973595,0.8580978088828329,0.8384470921376969,0.8689870879730648,0.9708021843319441
10,0.7200704324512045,0.7965240119630962,0.001,0.8638227254978524,0.8618546195652174,0.8257205680081214,0.8618546195652174,0.8382930542414933,0.8684504393672727,0.9725094816188299
11,0.717281716286432,0.8084980634123681,0.001,0.8590394377196408,0.8614377098903064,0.8122573704574982,0.8614377098903064,0.8290077408676171,0.8636928394700453,0.9714216508295787
12,0.7137221564509253,0.8053865043132951,0.001,0.8554275673565014,0.861977854852251,0.8119210637118761,0.861977854852251,0.8283506397151,0.8610841864469393,0.9722622443651127
13,0.7112664888567314,0.8077291434326008,0.001,0.853670441233893,0.8612318518002394,0.8090658185048705,0.8612318518002394,0.8258019297330059,0.8593696239554693,0.9720340867170106
14,0.7081092907893869,0.801960199105465,0.0005,0.8571846934791097,0.8639866459443,0.8216463818221258,0.8639866459443,0.8342715901035316,0.863242834218179,0.9727523046289702
15,0.7062874590016485,0.7940941136919488,0.0005,0.8715345568137446,0.8658306376622348,0.8336272593579968,0.8658306376622348,0.8450719640156295,0.8748614502419716,0.9731744440237746
16,0.7046691831840488,0.7971048405141581,0.0005,0.8644084342053885,0.8641191822105921,0.8249719970149634,0.8641191822105921,0.8385480045969207,0.8689430038924537,0.9725231412227846
17,0.7043497341510333,0.7959674264201425,0.0005,0.8692893401015228,0.8629863874523446,0.8240338242266076,0.8629863874523446,0.8385963862185842,0.8722017549976073,0.9729490575438475
18,0.7032570367578732,0.8046683267381498,0.0005,0.8505466614603671,0.8602075505457147,0.8103845418562385,0.8602075505457147,0.8260916719219159,0.8570757754497886,0.9726323632015228
19,0.7037026052287081,0.7941945641360121,0.0005,0.8637251073799297,0.8641782246118749,0.8260621515208542,0.8641782246118749,0.8389476323799054,0.8685485543202837,0.9732915692622118
20,0.7001967340675777,0.7919455524628538,0.00025,0.8685083951581414,0.8661300377974592,0.826337297424665,0.8661300377974592,0.8416683058958292,0.8722991457170212,0.9731009667551127
21,0.6997613745402698,0.8043577471825817,0.00025,0.8558180398281922,0.8634658072346779,0.8108428044028628,0.8634658072346779,0.8281448159715383,0.8613539401973985,0.972675928309248
22,0.699495972619292,0.79726993497672,0.00025,0.8617727450214759,0.8655334740630635,0.8220603348930811,0.8655334740630635,0.836740336606345,0.8668568989271059,0.9731302170938247
