cohort,class,n,precision,recall,f1
kermany,NORMAL,1236,0.897,0.979,0.9362
kermany,AMD,1505,0.9813,0.9076,0.943
kermany,MACRO (2 cls),2741,0.9391,0.9433,0.9396
neh,NORMAL,324,0.8089,0.9012,0.8526
neh,AMD,532,0.9354,0.8703,0.9017
neh,MACRO (2 cls),856,0.8721,0.8858,0.8771
