epoch,train_loss,val_loss,lr,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,roc_auc_ovr_macro
1,0.989098057648265,0.8836093921532905,0.001,0.8153065208902772,0.8079281762252777,0.7627268917360118,0.8079281762252777,0.7767378078064591,0.8230966797169289,0.9527288800793062
2,0.8197721353604172,0.8647903554470266,0.001,0.8128660679422101,0.8266183972724583,0.7693341445011461,0.8266183972724583,0.7832248954037847,0.8231083926850328,0.9609199737193493
3,0.7838492528960019,0.8438641481313888,0.001,0.8342444357672784,0.83930057818758,0.7905229753923512,0.83930057818758,0.8027092125005122,0.8413422770094423,0.9649148642832397
4,0.7626985401169771,0.8332505249409227,0.001,0.853963295587661,0.839787508645072,0.7997961314067554,0.839787508645072,0.8132406864559698,0.8571205118672721,0.9661298561553845
5,0.7508307650029267,0.8228234326825483,0.001,0.853670441233893,0.8515081403460781,0.8030580289829412,0.8515081403460781,0.8200015864188106,0.8584872000968695,0.9681261943186612
6,0.7427955841594029,0.8240550193922541,0.001,0.8406872315501757,0.8482249376780627,0.8023737092807812,0.8482249376780627,0.8146181821467786,0.8479187799050141,0.9689547153221496
7,0.7345504750390197,0.815333350009166,0.001,0.8497657165169855,0.8544139490603108,0.8038376956620122,0.8544139490603108,0.8206712831204646,0.8558328692567829,0.9696944815854699
8,0.7289551546874292,0.8040584491733832,0.001,0.8617727450214759,0.8569166060221314,0.821468424582696,0.8569166060221314,0.8342186839263684,0.8662216994476999,0.9707642665198809
9,0.7236862834987366,0.7935643160729519,0.001,0.8799297149550956,0.8533587932855747,0.8457824246176251,0.8533587932855747,0.8488605430377157,0.8803478862721266,0.9716979032551777
10,0.7210727748630862,0.8221248096434784,0.001,0.8395158141351035,0.8563056660920488,0.7948859112032951,0.8563056660920488,0.8128642272700459,0.8471731085879669,0.9710343032068168
11,0.7165854974945997,0.801719214966501,0.001,0.8622608356110895,0.8604142258316473,0.8147703460107416,0.8604142258316473,0.8322356251416901,0.8665211800357857,0.9713816239759765
12,0.7153287532338576,0.7951189560705868,0.001,0.8700702850449044,0.8617519270768818,0.8293019075590436,0.8617519270768818,0.8416901642741565,0.8730123184722564,0.9724322970531161
13,0.7115826309770812,0.7988274796360035,0.001,0.8588442014837954,0.8605228860003165,0.8206656256727575,0.8605228860003165,0.8339499089652579,0.8643150350487377,0.9726931028519816
14,0.7069655509938757,0.8018166345341603,0.0005,0.8607965638422491,0.862851566263402,0.8176836519813411,0.862851566263402,0.8330441948198372,0.8654229225244796,0.9725703114133565
15,0.7068326605502239,0.8070889524955481,0.0005,0.8585513471300273,0.8637737717976244,0.8120783864438058,0.8637737717976244,0.8294385954394352,0.8636197875766619,0.9723368163336883
16,0.7049206857187273,0.807808746494664,0.0005,0.8537680593518157,0.8618374584520417,0.8062584787680771,0.8618374584520417,0.8250701134066428,0.8595049840915349,0.9721729493629538
