epoch,train_loss,val_loss,lr,accuracy,balanced_accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,roc_auc_ovr_macro
1,1.0016674904313718,0.9507069172732582,0.001,0.7674736431081609,0.7728548716056265,0.7186615280711017,0.7728548716056265,0.7235419610548968,0.7804641471699839,0.9383573614786874
2,0.8527057561794691,0.9069320381921234,0.001,0.7935376805935181,0.7981423955193582,0.7405053656874838,0.7981423955193582,0.7538225690962199,0.8042698798034515,0.9489609588300969
3,0.8196328666743469,0.8641638917552452,0.001,0.832194455290902,0.81400916184091,0.7803045673769168,0.81400916184091,0.7920554369834538,0.836431259235052,0.9551667254942389
4,0.7986338303766919,0.8717214779572671,0.001,0.8213588442014838,0.8188434775296943,0.7651230811531071,0.8188434775296943,0.7822456510319169,0.8286537850853929,0.9560545573552354
5,0.790714957922345,0.8553721380392028,0.001,0.8278992581023038,0.825265878975873,0.7838160048927547,0.825265878975873,0.7960453756265087,0.8349167448159548,0.9583805647034643
6,0.7781058953052041,0.8653759942395479,0.001,0.8154041390082,0.8251280793230522,0.7664586913605836,0.8251280793230522,0.7813490211041105,0.8246631622050549,0.9593125361822334
7,0.7738737233452361,0.864514574972925,0.001,0.8043732916829364,0.8191255982733942,0.776586250735547,0.8191255982733942,0.7809285338505993,0.8160647350111698,0.960451096942784
8,0.7691604891568707,0.8508061544823489,0.001,0.8237992971495509,0.8320295941031146,0.7810497999149719,0.8320295941031146,0.7948383758815586,0.8322720010427899,0.9608991275075708
9,0.7628936957336785,0.8391069683047395,0.001,0.8379539242483405,0.8331918347939634,0.7977681736213962,0.8331918347939634,0.8077342100077196,0.8436926189041509,0.9621080565392266
10,0.759055991183699,0.842938474173287,0.001,0.8298516204607576,0.832546217802483,0.7883587725355045,0.832546217802483,0.8006012146894571,0.8372577912420064,0.9620346928521193
11,0.7558960957578141,0.8327832822453366,0.001,0.8500585708707536,0.8334259291516991,0.8001676889974683,0.8334259291516991,0.8119723990740207,0.8529471621962202,0.9627893643807997
12,0.7520445900513482,0.8414643490887024,0.001,0.8308278016399844,0.8359632577986292,0.7873002306231756,0.8359632577986292,0.8011006563941202,0.8383359945454096,0.9628408879293817
13,0.7502901614215997,0.8317427617039173,0.001,0.8401991409605623,0.8366897825570833,0.8041644580883465,0.8366897825570833,0.813016244583803,0.8466723406536962,0.9637559495994039
14,0.748107364044241,0.8365974658543781,0.001,0.8376610698945725,0.8366445142071651,0.7884837713344363,0.8366445142071651,0.8037067775581255,0.8435856233909694,0.9635533859816694
15,0.7490670632913091,0.8243874871186193,0.001,0.8604060913705583,0.8438812782147626,0.8143377436261079,0.8438812782147626,0.8258245827006939,0.8628622593206,0.96452806170743
16,0.7453145626390607,0.8437997080859893,0.001,0.8299492385786802,0.8363544096749108,0.7782168941744101,0.8363544096749108,0.795066809262481,0.8374569502982793,0.963800840340944
17,0.7417294838119162,0.8291944504854782,0.001,0.8493752440452949,0.8406989562258281,0.7994065859302304,0.8406989562258281,0.8136952845454,0.8534868846595979,0.9641038853462595
18,0.7407316171386629,0.8399404907822376,0.001,0.8302420929324482,0.8329590253692004,0.788185484132015,0.8329590253692004,0.7994738616112751,0.8371747462068128,0.9646432601929282
19,0.7403671390631046,0.834134999800827,0.001,0.842444357672784,0.8402049989591505,0.7897146473430421,0.8402049989591505,0.8057893171662993,0.8481375691983216,0.9645303528627612
20,0.7360559075596319,0.8297520179573515,0.0005,0.8438110113237017,0.842620844989127,0.794596639493409,0.842620844989127,0.8101447761190459,0.8492263294374834,0.9650257201761816
21,0.735011942964669,0.8339275411682546,0.0005,0.838734869191722,0.840468189790729,0.7887266379117606,0.840468189790729,0.8061322917497773,0.8449394957044013,0.9644538960165849
22,0.7348091916753229,0.8272403809811072,0.0005,0.8457633736821554,0.843701774691358,0.7961826665997718,0.843701774691358,0.8126910924776904,0.8509368675651728,0.9652873871106591
