cohort,class,n,precision,recall,f1
kermany,NORMAL,4906,0.9308,0.9152,0.9229
kermany,DRUSEN,1294,0.6518,0.6669,0.6593
kermany,CNV,3050,0.9112,0.858,0.8838
kermany,DME,1659,0.7512,0.8553,0.7999
kermany,MACRO (4 cls),10909,0.8112,0.8239,0.8165
neh,NORMAL,885,0.8254,0.7051,0.7605
neh,DRUSEN,849,0.6602,0.8375,0.7383
neh,CNV,729,0.9259,0.7709,0.8413
neh,DME,0,,,
neh,MACRO (3 cls),2463,0.8038,0.7712,0.78
